Month,values
1/1/2012,22
2/1/2012,35
3/1/2012,34
4/1/2012,35
5/1/2012,51
6/1/2012,49
7/1/2012,53
8/1/2012,47
9/1/2012,25
10/1/2012,26
11/1/2012,31
12/1/2012,43
1/1/2013,33
2/1/2013,31
3/1/2013,48
4/1/2013,47
5/1/2013,46
6/1/2013,57
7/1/2013,54
8/1/2013,51
9/1/2013,42
10/1/2013,40
11/1/2013,45
12/1/2013,35
1/1/2014,35
2/1/2014,57
3/1/2014,56
4/1/2014,71
5/1/2014,65
6/1/2014,81
7/1/2014,61
8/1/2014,48
9/1/2014,47
10/1/2014,44
11/1/2014,44
12/1/2014,41
1/1/2015,38
2/1/2015,39
3/1/2015,86
4/1/2015,78
5/1/2015,83
6/1/2015,86
7/1/2015,85
8/1/2015,62
9/1/2015,45
10/1/2015,47
11/1/2015,53
12/1/2015,52
1/1/2016,42
2/1/2016,57
3/1/2016,55
4/1/2016,68
5/1/2016,74
6/1/2016,91
7/1/2016,77
8/1/2016,72
9/1/2016,55
10/1/2016,58
11/1/2016,54
12/1/2016,57
1/1/2017,48
2/1/2017,88
3/1/2017,74
4/1/2017,79
5/1/2017,89
6/1/2017,84
7/1/2017,78
8/1/2017,70
9/1/2017,58
10/1/2017,46
11/1/2017,58
12/1/2017,59
1/1/2018,57
2/1/2018,57
3/1/2018,91
4/1/2018,92
5/1/2018,97
6/1/2018,100
7/1/2018,99
8/1/2018,68
9/1/2018,54
10/1/2018,62
11/1/2018,52
12/1/2018,57
1/1/2019,49
2/1/2019,69
3/1/2019,74
4/1/2019,73
5/1/2019,91
6/1/2019,96
7/1/2019,95
8/1/2019,77
9/1/2019,66
10/1/2019,66
11/1/2019,68
12/1/2019,70
